path,distribution,n,rows,cols,epsilon,delta,error_bound,key_count,within_count,within_rate,required_within_lower_bound,pass,max_abs_error
regular,uniform,100,3,4096,0.000663643025,0.049787068368,0.066364302453,100,100,1.000000000000,95.021293163214,true,0.000000000000
fast,uniform,100,3,4096,0.000663643025,0.049787068368,0.066364302453,100,100,1.000000000000,95.021293163214,true,0.000000000000
regular,uniform,1000,3,4096,0.000663643025,0.049787068368,0.663643024526,1000,991,0.991000000000,950.212931632136,true,1.000000000000
fast,uniform,1000,3,4096,0.000663643025,0.049787068368,0.663643024526,1000,991,0.991000000000,950.212931632136,true,1.000000000000
regular,uniform,10000,3,4096,0.000663643025,0.049787068368,6.636430245261,10000,10000,1.000000000000,9502.129316321361,true,6.000000000000
fast,uniform,10000,3,4096,0.000663643025,0.049787068368,6.636430245261,10000,10000,1.000000000000,9502.129316321361,true,5.000000000000
regular,uniform,100000,3,4096,0.000663643025,0.049787068368,66.364302452613,100000,100000,1.000000000000,95021.293163213602,true,39.000000000000
fast,uniform,100000,3,4096,0.000663643025,0.049787068368,66.364302452613,100000,100000,1.000000000000,95021.293163213602,true,37.000000000000
regular,uniform,1000000,3,4096,0.000663643025,0.049787068368,663.643024526134,1000000,1000000,1.000000000000,950212.931632135995,true,287.000000000000
fast,uniform,1000000,3,4096,0.000663643025,0.049787068368,663.643024526134,1000000,1000000,1.000000000000,950212.931632135995,true,288.000000000000
regular,zipf,100,3,4096,0.000663643025,0.049787068368,0.066364302453,56,56,1.000000000000,53.211924171400,true,0.000000000000
fast,zipf,100,3,4096,0.000663643025,0.049787068368,0.066364302453,59,59,1.000000000000,56.062562966296,true,0.000000000000
regular,zipf,1000,3,4096,0.000663643025,0.049787068368,0.663643024526,433,433,1.000000000000,411.442199396715,true,0.000000000000
fast,zipf,1000,3,4096,0.000663643025,0.049787068368,0.663643024526,400,400,1.000000000000,380.085172652854,true,0.000000000000
regular,zipf,10000,3,4096,0.000663643025,0.049787068368,6.636430245261,2092,2091,0.999521988528,1987.845452974429,true,8.000000000000
fast,zipf,10000,3,4096,0.000663643025,0.049787068368,6.636430245261,2088,2088,1.000000000000,1984.044601247900,true,5.000000000000
regular,zipf,100000,3,4096,0.000663643025,0.049787068368,66.364302452613,6547,6547,1.000000000000,6221.044063395595,true,40.000000000000
fast,zipf,100000,3,4096,0.000663643025,0.049787068368,66.364302452613,6491,6491,1.000000000000,6167.832139224195,true,41.000000000000
regular,zipf,1000000,3,4096,0.000663643025,0.049787068368,663.643024526134,8192,8192,1.000000000000,7784.144335930459,true,424.000000000000
fast,zipf,1000000,3,4096,0.000663643025,0.049787068368,663.643024526134,8192,8192,1.000000000000,7784.144335930459,true,507.000000000000
